adjusted_appropriation,fund_no,dept_no,activity_code,object_code,sub_object_code,account_description,department
214440,1000,210,410100,110,000,SALARIES AND WAGES,Council
199915,1000,210,410100,140,000,EMPLOYER CONTRIBUTIONS,Council
217,1000,210,410100,141,000,STATE RETIREMENT CONTRIBUTIONS,Council
200,1000,210,410100,210,000,OFFICE SUPPLIES,Council
750,1000,210,410100,230,000,REPAIR/MAINTENANCE,Council
350,1000,210,410100,240,000,OTHER SUPPLIES,Council
20,1000,210,410100,310,000,COMMUNICATIONS,Council
250,1000,210,410100,320,000,PRINTING & DUPLICATING,Council
2955,1000,210,410100,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Council
7150,1000,210,410100,350,000,PROFESSIONAL SERVICES,Council
80,1000,210,410100,360,000,REPAIR & MAINTENANCE,Council
6350,1000,210,410100,370,000,TRAVEL,Council
5500,1000,210,410100,380,000,TRAINING,Council
6000,1000,210,410100,700,000,GRANTS & CONTRIBUTIONS,Council
20000,1000,210,419000,350,000,PROFESSIONAL SERVICES,Council
334398,1000,220,410210,110,000,SALARIES AND WAGES,Administration
500,1000,220,410210,120,000,OVERTIME,Administration
11460,1000,220,410210,130,000,OTHER,Administration
113233,1000,220,410210,140,000,EMPLOYER CONTRIBUTIONS,Administration
337,1000,220,410210,141,000,STATE RETIREMENT CONTRIBUTIONS,Administration
1004,1000,220,410210,210,000,OFFICE SUPPLIES,Administration
1120,1000,220,410210,220,000,OPERATING SUPPLIES,Administration
100,1000,220,410210,230,000,REPAIR/MAINTENANCE,Administration
108,1000,220,410210,231,000,GASOLINE,Administration
890,1000,220,410210,310,000,COMMUNICATIONS,Administration
956,1000,220,410210,320,000,PRINTING & DUPLICATING,Administration
9635,1000,220,410210,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Administration
2324,1000,220,410210,344,000,TELEPHONE SERVICE,Administration
46072,1000,220,410210,350,000,PROFESSIONAL SERVICES,Administration
605,1000,220,410210,360,000,REPAIR & MAINTENANCE,Administration
2908,1000,220,410210,370,000,TRAVEL,Administration
2300,1000,220,410210,380,000,TRAINING,Administration
1050,1000,220,410210,390,000,OTHER PURCHASED SERVICES,Administration
110734,1000,220,410250,110,000,SALARIES AND WAGES,Administration
37206,1000,220,410250,140,000,EMPLOYER CONTRIBUTIONS,Administration
106,1000,220,410250,141,000,STATE RETIREMENT CONTRIBUTIONS,Administration
400,1000,220,410250,240,000,OTHER SUPPLIES,Administration
500,1000,220,410250,320,000,PRINTING & DUPLICATING,Administration
1982,1000,220,410250,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Administration
1752,1000,220,410250,344,000,TELEPHONE SERVICE,Administration
18835,1000,220,410250,350,000,PROFESSIONAL SERVICES,Administration
620,1000,220,410250,380,000,TRAINING,Administration
200,1000,220,410250,390,000,OTHER PURCHASED SERVICES,Administration
38105,1000,220,419000,350,419,PROFESSIONAL SERVICES,Administration
16000,1000,220,419000,700,000,GRANTS & CONTRIBUTIONS,Administration
575132,1000,221,410810,110,000,SALARIES AND WAGES,Human Resources
0,1000,221,410810,120,000,OVERTIME,Human Resources
218958,1000,221,410810,140,000,EMPLOYER CONTRIBUTIONS,Human Resources
551,1000,221,410810,141,000,STATE RETIREMENT CONTRIBUTIONS,Human Resources
1300,1000,221,410810,210,000,OFFICE SUPPLIES,Human Resources
9200,1000,221,410810,220,000,OPERATING SUPPLIES,Human Resources
400,1000,221,410810,310,000,COMMUNICATIONS,Human Resources
700,1000,221,410810,320,000,PRINTING & DUPLICATING,Human Resources
2200,1000,221,410810,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Human Resources
16094,1000,221,410810,350,000,PROFESSIONAL SERVICES,Human Resources
21560,1000,221,410810,360,000,REPAIR & MAINTENANCE,Human Resources
6000,1000,221,410810,370,000,TRAVEL,Human Resources
13900,1000,221,410810,380,000,TRAINING,Human Resources
0,1000,221,410810,650,000,LEASE PAYMENTS - PRINCIPAL,Human Resources
0,1000,221,410810,660,000,LEASE PAYMENTS - INTEREST,Human Resources
125355,1000,221,410835,110,000,SALARIES AND WAGES,Human Resources
35460,1000,221,410835,140,000,EMPLOYER CONTRIBUTIONS,Human Resources
120,1000,221,410835,141,000,STATE RETIREMENT CONTRIBUTIONS,Human Resources
300,1000,221,410835,210,000,OFFICE SUPPLIES,Human Resources
5500,1000,221,410835,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Human Resources
600,1000,221,410835,344,000,TELEPHONE SERVICE,Human Resources
155282,1000,221,410835,350,000,PROFESSIONAL SERVICES,Human Resources
10300,1000,221,410835,360,000,REPAIR & MAINTENANCE,Human Resources
80000,1000,221,419000,940,000,MACHINERY & EQUIPMENT,Human Resources
50474.5,1000,221,419000,940,419,MACHINERY & EQUIPMENT,Human Resources
64047,1000,221,469005,110,419,SALARIES AND WAGES,Human Resources
0,1000,221,469005,140,000,EMPLOYER CONTRIBUTIONS,Human Resources
25819,1000,221,469005,140,419,EMPLOYER CONTRIBUTIONS,Human Resources
64,1000,221,469005,141,419,STATE RETIREMENT CONTRIBUTIONS,Human Resources
200,1000,221,469005,210,419,OFFICE SUPPLIES,Human Resources
2500,1000,221,469005,220,419,OPERATING SUPPLIES,Human Resources
50,1000,221,469005,310,419,COMMUNICATIONS,Human Resources
50000,1000,221,469005,350,419,PROFESSIONAL SERVICES,Human Resources
2500,1000,221,469005,370,419,TRAVEL,Human Resources
2000,1000,221,469005,380,419,TRAINING,Human Resources
318199,1000,223,410600,350,000,PROFESSIONAL SERVICES,Community Based Organization
269154,1000,223,410910,110,000,SALARIES AND WAGES,Community Based Organization
500,1000,223,410910,120,000,OVERTIME,Community Based Organization
86798,1000,223,410910,140,000,EMPLOYER CONTRIBUTIONS,Community Based Organization
223,1000,223,410910,141,000,STATE RETIREMENT CONTRIBUTIONS,Community Based Organization
1500,1000,223,410910,210,000,OFFICE SUPPLIES,Community Based Organization
68,1000,223,410910,220,000,OPERATING SUPPLIES,Community Based Organization
150,1000,223,410910,231,000,GASOLINE,Community Based Organization
60,1000,223,410910,240,000,OTHER SUPPLIES,Community Based Organization
5447,1000,223,410910,310,000,COMMUNICATIONS,Community Based Organization
0,1000,223,410910,320,000,PRINTING & DUPLICATING,Community Based Organization
35520.5,1000,223,410910,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Community Based Organization
7300,1000,223,410910,350,000,PROFESSIONAL SERVICES,Community Based Organization
400,1000,223,410910,360,000,REPAIR & MAINTENANCE,Community Based Organization
3490,1000,223,410910,370,000,TRAVEL,Community Based Organization
4570,1000,223,410910,380,000,TRAINING,Community Based Organization
3500,1000,223,410910,390,000,OTHER PURCHASED SERVICES,Community Based Organization
10000,1000,223,411802,700,000,GRANTS & CONTRIBUTIONS,Community Based Organization
5880,1000,223,460451,700,000,CITY BAND CONTRIBUTIONS,Community Based Organization
818225,1000,224,410580,110,000,SALARIES AND WAGES,Information Technologies
1000,1000,224,410580,120,000,OVERTIME,Information Technologies
10000,1000,224,410580,130,000,OTHER,Information Technologies
278172,1000,224,410580,140,000,EMPLOYER CONTRIBUTIONS,Information Technologies
713,1000,224,410580,141,000,STATE RETIREMENT CONTRIBUTIONS,Information Technologies
2500,1000,224,410580,210,000,OFFICE SUPPLIES,Information Technologies
10650,1000,224,410580,220,000,OPERATING SUPPLIES,Information Technologies
2100,1000,224,410580,230,000,REPAIR/MAINTENANCE,Information Technologies
400,1000,224,410580,231,000,GASOLINE,Information Technologies
