fund,dept_no,activity,program_title_h8,requested_title_change_i9,department_h6,ftes_h36,personnel_g27,o&m_g28,debt_g29,grant_g30,transfers_g31,capital_g32,total_expenditures_g33,cost_recovery_e58_yn,cost_recovery_p24_percent,description_e12,additional_activities_e20,mandate_e41_yn,mandate_h41_entity,mandate_e43_descript,service_level_e47_yn,service_level_h47_entity,service_level_e49_descript,reliance_e53_level,reliance_e55_high_descript,strategic_goal_e64_yn,strategic_goal_e66_name,strategic_goal_e68_action_descript,strategic_goal_e74_additional_actions,strategic_goal_e80_2nd_additional_actions,trend_demand_e87_level,trend_demand_e89_descript,risk_e93_type,risk_e95_descript
1000,210,410100,LEGISLATION SERVICES,0,Council,12.0,414572.0,23605.0,0,6000.0,0,0.0,444177.0,No,0.0,"Legislation Services include the salaries, training and resourcing of City Council.",0,Yes,Required by State Law,"State law requires municipalities select a representative form of government, the current City Charter requires 12 council members.  Changing this would require a ballot measure put to the residents.",Yes,Required by State Law,Council has a variety of required roles under state law and the City Charter.,High,Internal Organizational (City) Dependence,No,0,0,0,0,Demand for service is increasing,Increase in council time for committees and interest on council in providing more detailed oversight.,Low/No Risk,0
1000,210,419000,GENERAL GOV'T ONETIME EXPENDITURES,One Time Expense - Neighborhood Traffic Management Plan,Council,0.0,0.0,20000.0,0,0.0,0,0.0,20000.0,No,0.0,This activity accounts for the expenditure of the Human Rights Project: Community Education & Outreach as approved with FY2024 City Council New Request #1.  It is funded by General Fund fund balance.,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
1000,220,410210,ADMINISTRATION,Mayor's Office,Administration,3.0,459928.0,69072.0,0,0.0,0,0.0,529000.0,No,0.0,Provides for the operations of the Mayor's Office,0,Yes,Required by City Charter,State law requires (MCA7-4-4101) requires the Mayor as an officer of the City. Missoula's charter establishes the strong mayor form of government.,No,0,"Charter allows the Mayor to appoint an ""Assistant"" which historically has been the Chief Administrative Officer position.",High,Internal Organizational (City) Dependence,No,0,0,0,0,Demand for service is increasing,"As the City grows and issues become more complex, the need for additional leadership and management capacity grows.",Low/No Risk,Program risk is low
1000,220,410250,ADMINISTRATION,Communications Office,Administration,1.0,148046.0,24289.0,0,0.0,0,0.0,172335.0,No,0.0,"Embedded in the Mayor’s Office, this program provides citywide communications support for all departments including media relations, digital engagement, and public information campaigns. The program also provides Public Information Officer duties for large scale emergencies and incidents.",0,No,0,0,No,0,0,High,Internal Organizational (City) Dependence,Yes,Organizational Excellence and Resilience,"Drive consistency, effectiveness and excellence in City messaging.",Overhaul and implement social media policies and operations.,0,Demand for service is increasing,"Demand for accurate, timely, appropriate communication from the public and City Council members increases steadily. In addition the media landscape is increasingly fragmented. Meeting the increase in demand and strategies in the modern environment requires increased time for planning and implementation. Communications professionals at the City of Missoula use the wide range of tools and modes necessary in today's communications environment.",Low/No Risk,Program risk is considered low
1000,220,419000,GENERAL GOV'T ONETIME EXPENDITURES,0,Administration,0.0,0.0,38105.0,0,16000.0,0,0.0,54105.0,Yes,0.704278717308936,"$38,105 - Communications Professional Services as approved by the  FY22 Budget and carried forward to the current year | $16,000 Zero by Fifty Implementation - Home Resource as approved by FY24 Mayor NR #2 and funded by general Fund Fund Balance",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
2365,220,460451,PUBLIC ART ADMINISTRATION,0,Administration,0.0,0.0,500.0,0,0.0,0,0.0,500.0,Yes,0.0,This is the fund for administration of the public art program.,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is evolving,City is exploring more effective approach to administering public art program.,Changes in the Operating Environment,0
2365,220,460457,PUBLIC ART,0,Administration,0.0,0.0,6100.0,0,0.0,0,0.0,6100.0,Yes,0.0,This is the operating fund for the public art program.,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is evolving,City is exploring more effective approach to administering public art program.,Changes in the Operating Environment,0
2365,220,460459,MAINTENANCE,0,Administration,0.0,0.0,0.0,0,0.0,0,7500.0,7500.0,No,0.0,This is the budget for capital projects of the public art committee,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is evolving,City is exploring more effective approach to administering publci art program.,Changes in the Operating Environment,0
1000,221,410810,ADMINISTRATION,Human Resource and Risk Management Services,Human Resources,7.0,846024.0,71354.0,0,0.0,0,0.0,917378.0,No,0.0,"The Human Resources Department provides consultation and support to current, future and past staff. The Department helps create a safe and healthy work environment encouraging personal and professional growth and opportunity while meeting the City's mission in serving the residents of Missoula.  Services include, but are not limited to recruiting, risk management, benefits administration, classification/compensation, policy development, training and consutation for staff and ensuring compliance with various Federal and State employment laws.",0,No,0,"While there is not a mandate to have an HR Department, most of the services we provide are mandated by law.  See comments below in the next section.",Yes,Required by Federal Law,"The services we offer are required by federal and state law. An organization our size could not adequately manage such requirements at the department/manager level.  Examples include:  FMLA, Americans with Disabilities Act, EEO, Affordable Care Act, MT Human Rights Act, wage and hour, workers compensation and more.",High,Internal Organizational (City) Dependence,Yes,Organizational Excellence and Resilience,Create and implement a formal system for developing an inclusive workplace culture.,"Assess workplace safety and well-being and develop a plan to remedy areas of concern, support areas of success while increasing overall staff engagement in safety and well-being efforts.","Increase diversity of applicants in the hiring process to increase diversity of City staff members’ lived, educational, and professional experiences",Demand for service is increasing,"As HR has worked to become more of a strategic partner, the frequency of requests has increased for the department to offer guidance, trainings, and strategic matters related to our workforce. HR is not always able to meet these demands due to the level of requests and the ongoing day to day work required within the department.",Low/No Risk,"If HR does not secure additional funding for future FTE and to ensure wages for trained HR professionals, we will have risk in meeting basic requirements of our growing organization."
1000,221,410835,RISK MANAGEMENT,0,Human Resources,1.0,160935.0,171982.0,0,0.0,0,0.0,332917.0,No,0.0,"Risk management provides for oversite and processing of liability and workers compenation claims, creation of safety policy and forms, administering the Commercial Drivers Licence compliance program, City-wide Emergency Planning and emergency notifications and leads the City's Safety Commtitee and safety education efforts.",0,Yes,Required by State Law,"MT Safety Culture Act requires organization to have a safety program and training.  This could be handled by other areas of the organization, but additional staff in each department woudl be required. It is typical in an organization the size of the City for this to be centralized.",Yes,Required by State Law,"An organization our size cannot realistically expect each Department to handle complexities of safety, workers comp, liability, emergency planning and CDL programs, thus why the requirement for this centralized program.",High,"An organization our size cannot realistically expect each Department to handle complexities of safety, workers comp, liability, emergency planning and CDL programs, thus why the requirement for this centralized program.",Yes,Organizational Excellence and Resilience,"Assess workplace safety and well-being and develop a plan to remedy areas of concern, support areas of success while increasing overall staff engagement in safety and well-being efforts.",0,0,Demand for service is evolving,Increase in requests to assist with safety education/training and workers compensation claim reviews. Complexity of claims and return to work assistance evolves.,Low/No Risk,0
1000,221,419000,GENERAL GOV'T ONETIME EXPENDITURES,0,Human Resources,0.0,0.0,0.0,0,0.0,0,130474.5,130474.5,Yes,0.386853369815558,"This was onetime ARPA funds rolled over to help install Alertus $50,474.50.  It is part of Risk Management. As approved by FY22 HR NR#3 and funded by ARPA Revenues.  This also includes $80,000 for the HCM System as approved by FY24 HR NR #2 and funded by the CAP.",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is increasing,0,Low/No Risk,0
1000,221,469005,JEDI PROGRAM,0,Human Resources,0.0,89930.0,57250.0,0,0.0,0,0.0,147180.0,Yes,1.0,This program provides capacity for dedicated services such as assessments of current policies and practices and guidance/training to departments to assist in areas that may need improvement for ensuring the values of Justice Equity Diversity and Inclusion. This program helps to build partnerships thoughout the community in an effort to build stronger relationships withhistorically marginalized populations in hopes of helping them trust and be involved in local government.,0,No,0,0,No,0,0,Medium,0,Yes,Organizational Excellence and Resilience,Create and implement a formal system for developing an inclusive workplace culture.,Establish mechanisms to formally incorporate strategic lenses into structured decision-making.,0,Demand for service is evolving,Staff have expressed a desire to build a more inclusive and diverse workplace and are looking for support in meeting this desire.  Leadership has expressed a desire to move JEDI forward fuller and faster.  Not all Departments support JEDI at the same level. Externally community has asked for inclusive government.,Financial Risk,This program is currently 100% ARPA funded.  This program cannot exist without ongoing funding or another source for one time funding being secured. Internal DEI can be absorbed into HR duties External focused JEDI will not have adequate internal staff support and such activities would likely cease or drastically decrease.
1000,223,410600,ELECTIONS,0,Clerk,0.0,0.0,318199.0,0,0.0,0,0.0,318199.0,No,0.0,Funding for City elections required by law.,0,Yes,Required by State Law,"The City, after selecting its form of government by charter, is required to finance municipal elections for municipal officers and some ballot measures.",Yes,Required by State Law,State and County officials set standards for elections and ballot measures.,High,Internal Organizational (City) Dependence,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
1000,223,410910,ADMINISTRATION,0,Clerk,3.0,356675.0,62005.5,0,0.0,0,0.0,418680.5,No,0.0,"The Clerk's Office supports the City Council, Mayor's Office and all boards and commissions in legislative and related technical services. The Clerk's Office is also the official respository and officer of records for the City.",0,Yes,Required by State Law,The City Clerk is a required officer of a first class city under MCA 7-4-4101.,No,0,0,High,Internal Organizational (City) Dependence,No,0,0,0,0,Demand for service is increasing,Pandemic-era expectations of remote participation options and electronic filing systems require increase technical ability and support by the Clerk's Office to City Council and boards and commissions.,Low/No Risk,0
